id,text
00000001,15% polyester
00000002,'Bride To Be' garland
00000003,0,5
00000004,1 metal frame
00000005,1 day in advance
00000006,1 month in advance
00000007,1 week in advance
00000008,100ml – silicone effect
00000009,100ml – silicone effect
00000010,160 pages of hygge
00000011,2 metal trays
00000012,2 sticker sheets
00000013,2 days in advance
00000014,Mirrors in two different hues
00000015,2 grams – gold look
00000016,2 grams – gold look
00000017,2-in-1
00000018,Second Day of Christmas
00000019,Whit Monday
00000020,Easter Monday
00000021,200 pieces
00000022,2020 foil balloon
00000024,3 frontsheets
00000025,3 in 1
00000026,3 months in advance
00000027,3 x 100ml, 3 different metallic colours
00000028,3 x 100ml, 3 different metallic colours
00000029,3-6 years
00000030,3 in 1 slicer cutter
00000032,32 paper pockets
00000033,3D Animal
00000034,4 plastic tubes
00000035,4 sided nail file
00000036,6 x 100ml, 6 different solid colours
00000037,6 x 100ml, 6 different solid colours
00000038,Apricot
00000039,Acai
00000040,Acetate
00000041,Warning. Becomes hot. Keep out of draughts. Place 
00000042,Warning. This is a decorative object and not a toy
00000043,Advent pegs
00000044,Advent candles
00000045,Advent candle holder
00000046,Distance glasses
00000047,Acorn
00000048,Maple
00000049,Air race
00000050,Acacia
00000052,Acacia wood
00000053,Acrylic
00000054,Acrylic diamonds
00000055,Acrylic colours
00000056,Artists' acrylic paints
00000057,Activity cards
00000058,Activity game
00000059,Baby gym
00000060,Activity set
00000061,Watercolours
00000062,Watercolour painting book with gold leaf and varni
00000063,Watercolour paper
00000064,Recommended ages
00000065,Duck feather
00000066,Number of pieces
00000067,Use
00000068,For adults use only
00000069,April
00000070,Aqua beads
00000071,Aqua beads starter set
00000072,Argan oil
00000073,Wood veneer sheets
00000074,Arm
00000075,Bracelets
00000076,Ash
00000077,Ash veneer
00000078,Aspen wood
00000079,Assorted thicknesses
00000080,August
00000081,W
00000082,BABY SHEET
00000083,BOOK OF FLYING
00000084,Baby bath soap
00000085,Baby body oil
00000086,Baby bed linen
00000087,Baby shampoo
00000088,Baby zinc cream
00000089,Baby socks
00000090,Backgammon
00000091,Bath Book
00000092,Hooded kids bathrobe, 4-6 years
00000093,Bath toy
00000094,Hooded towel poncho, 2-4 years
00000095,Bath salts
00000096,Hooded baby towel, 0-2 years
00000097,Bath soap
00000098,Bath soap for children
00000099,rubber ducks
00000100,Baking mould
00000101,Baking mat
00000102,Backdrop
00000103,Tray table
00000104,Balancing game
00000105,Balloon
00000106,Foil balloon letters
00000107,Balloon bouquet
00000108,Foil balloon figure
00000109,Balloon stickers
00000110,Balloon kit
00000111,Foil balloon numbers
00000112,Conditioner
00000113,Conditioner with softening ingredients
00000114,Bamboo
00000115,Bamboo skewers
00000116,Bamboo toothbrush
00000117,Bamboo box
00000118,Bar stool
00000119,Basil
00000120,Flower bed/pot/greenhouse
00000121,First moment card
00000122,With a(n) X veneer
00000123,leg
00000124,Secateurs
00000125,Bracket
00000126,Concrete colour paint
00000128,Teething ring
00000129,Pictures
00000130,Picture lotto
00000131,Photo frame
00000132,Ticket roll
00000133,Bingo
00000134,Biodegradable natural sponge
00000135,Biodegradable confetti
00000136,Birch bark
00000137,Birthday Girl ribbon sash
00000138,Bitter substance
00000139,Gloss
00000140,Gloss
00000141,Blank watercolour postcards
00000142,Plain paper
00000143,Blending brush
00000144,Soft
00000145,Block bottom bag
00000146,Recorder
00000147,Mixed flowers
00000148,flower press
00000149,Lace ribbon
00000150,Pencil
00000151,Pencil holder
00000152,blue
00000153,Soft
00000154,Soft pastels
00000155,Book of colours
00000156,Book of shapes
00000157,Book with reusable stickers
00000158,Book of numbers
00000159,Book cover paper
00000160,Letter stamps
00000161,Velcro ball game
00000162,Cotton ball
00000163,Cotton filling for DIY
00000164,cotton string
00000165,Table clock
00000166,Table place card (use glass as place holder)
00000167,Table runner
00000168,Seating plan
00000169,Table decorations
00000170,Coaster
00000171,Table easel
00000172,Wooden bowling set
00000173,Fern
00000174,Letter writing set
00000175,Writing paper and matching envelopes
00000176,Glasses case
00000177,Bottle opener glasses
00000178,Embroidery hoop
00000179,Embroidery fabric
00000180,Embroidery thread
00000181,Use without soap and water
00000182,User instructions
00000183,Brown
00000184,Brown craft arrow
00000185,Brown kraft food bag
00000186,Bread
00000187,Bread basket
00000188,Budget
00000189,Bow and 3 arrows
00000190,Base
00000193,Ribbon
00000194,Jar label ribbon
00000195,Ribbon yarn
00000196,Treat box
00000197,Microgreen cups
00000198,Weight capacity
00000199,Beech
00000200,beech wood
00000201,Corrugated card
00000202,Child's chair
00000203,Kids umbrella
00000204,Children's paintbrushes
00000205,Children's scissors
00000206,Kids shampoo
00000207,Child's chair
00000208,Children's socks
00000209,childeren's toothbrush
00000210,Brush
00000211,Body brush
00000212,Bristles
00000213,Cedarwood
00000214,Chili pepper
00000215,Chocolate and baking mould
00000216,Chocolate, baking and ice cube mould
00000217,Chocolate mould
00000218,Compass cutter
00000219,Quotes
00000220,Lemon/verbena/geranium
00000221,Lemongrass
